,presence_freq_y=1,presence_freq_y=-1,difference (y=1-y=-1),chi2_stat,p_value,FDR_q
CHEBI:37921,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEBI:37826,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0004151,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEBI:27208,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEBI:24745,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0001691,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0000339,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEBI:47880,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0004439,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0000350,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0000076,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0000081,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0004323,0.0,0.00693721817551162,-0.00693721817551162,0.32130599988290914,0.5708238419615338,0.9059691280103913
CHEMONTID:0000013,0.10869565217391304,0.08532778355879292,0.02336786861512012,0.3155555012976552,0.5742909487868586,0.9059691280103913
CHEMONTID:0000218,0.021739130434782608,0.012486992715920915,0.009252137718861693,0.31074633155279996,0.5772225672276163,0.9059691280103913
CHEBI:38183,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0002224,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0003420,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:48438,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0001160,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:24866,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:24315,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
