,Feature,Importance
401,CHEMONTID:0002951,0.0006171876513444659
207,CHEBI:48277,0.0005880895980747254
304,CHEBI:38530,0.0005589164166646055
268,CHEMONTID:0000160,0.0005518969836975145
380,CHEMONTID:0002449,0.0005450587991721733
314,CHEMONTID:0000485,0.0005422911767008134
38,CHEMONTID:0004557,0.0005368784161721025
294,CHEBI:47989,0.0005167259128109914
50,CHEMONTID:0002448,0.0005066413579052437
355,CHEMONTID:0001540,0.0004954553261500716
10,CHEBI:35352,0.0004267835004613616
53,CHEMONTID:0004233,0.0004172843861205148
209,CHEBI:37143,0.0003983875898488519
306,CHEBI:22315,0.00034476406675994995
238,CHEBI:33853,0.0003237652596467371
1433,CHEBI:17522,0.00031922935539594133
201,CHEBI:46766,0.000309746986654125
285,CHEMONTID:0004343,0.0003018426914029949
75,CHEBI:33822,0.0002971425038433413
215,CHEMONTID:0000313,0.0002491510032842105
68,CHEBI:15734,0.00023791962369103166
65,CHEBI:26191,0.00023270084974787104
160,CHEMONTID:0001205,0.00022187104388062185
308,CHEBI:50893,0.00022071434130512728
87,CHEMONTID:0002207,0.00021765044185502805
113,CHEMONTID:0004144,0.0001975150142142429
1434,CHEMONTID:0002210,0.0001872789510467939
90,CHEMONTID:0002012,0.00017802403228851573
363,CHEBI:26144,0.000174179324238236
486,CHEMONTID:0002648,0.00017100058568516411
82,CHEMONTID:0000323,0.00016304933492217394
52,CHEMONTID:0000031,0.0001615461636179716
153,CHEMONTID:0002551,0.00014206138320262783
296,CHEMONTID:0000291,0.00013901364486351684
79,CHEBI:28963,0.00013440214731132548
86,CHEMONTID:0002125,0.00013164573928264265
88,CHEMONTID:0002435,0.0001286636726420461
295,CHEMONTID:0001530,0.00012573785864219088
76,CHEBI:30879,0.0001248721945905205
11,CHEBI:25701,0.00012343630839727198
301,CHEMONTID:0000517,0.00011348764445133203
1025,CHEBI:5653,0.0001116081591807359
208,CHEBI:18000,9.85111351340338e-05
202,CHEMONTID:0000261,9.733128585086348e-05
206,CHEMONTID:0001664,9.519714619553679e-05
106,CHEBI:51151,9.512632460670718e-05
165,CHEBI:22562,9.490175667444458e-05
220,CHEMONTID:0000469,9.128263452565126e-05
298,CHEMONTID:0001262,8.513627812406668e-05
278,CHEBI:23424,8.445871829604871e-05
114,CHEMONTID:0003633,8.210602160166488e-05
221,CHEMONTID:0001517,8.129675576986439e-05
300,CHEMONTID:0003890,7.739769072147508e-05
280,CHEMONTID:0001292,7.058215194425928e-05
136,CHEBI:33575,6.232856411059393e-05
367,CHEMONTID:0002019,5.594174563386717e-05
345,CHEBI:38836,5.4672700617550596e-05
18,CHEBI:35622,5.348681608277984e-05
39,CHEMONTID:0000278,5.3113266634464194e-05
400,CHEMONTID:0001334,5.062500133808867e-05
37,CHEMONTID:0004139,4.7488321249446956e-05
69,CHEBI:61689,4.545600759936673e-05
293,CHEBI:51689,4.3683113175103724e-05
384,CHEMONTID:0000189,4.060594721456696e-05
107,CHEBI:32876,3.99918423689515e-05
132,CHEMONTID:0001099,3.919542834108954e-05
291,CHEBI:38338,3.894934163911068e-05
313,CHEMONTID:0000247,3.83577598097151e-05
2,CHEBI:50990,3.777385175176553e-05
93,CHEMONTID:0001661,3.672979972678328e-05
366,CHEMONTID:0003359,3.644016610594876e-05
133,CHEMONTID:0001030,3.229223869346956e-05
173,CHEBI:24436,3.115325520427493e-05
32,CHEMONTID:0000128,2.962783956206856e-05
49,CHEBI:35850,2.7966864092745893e-05
262,CHEMONTID:0002256,2.700971034163895e-05
120,CHEMONTID:0000321,2.6835969465953153e-05
289,CHEBI:38337,2.6787836713939202e-05
62,CHEBI:46942,2.5274297434706848e-05
330,CHEMONTID:0000012,2.5008150550333737e-05
353,CHEMONTID:0001729,2.299302776498648e-05
357,CHEBI:46848,2.0944827754730405e-05
91,CHEMONTID:0003675,2.093288533395997e-05
59,CHEBI:50699,1.9498190902174052e-05
23,CHEBI:51143,1.8926367614644686e-05
320,CHEBI:20857,1.82512691521065e-05
223,CHEBI:23449,1.806758687561268e-05
162,CHEMONTID:0000060,1.7859342169288925e-05
72,CHEBI:61697,1.70416736950068e-05
1028,CHEMONTID:0001092,1.6393950703249588e-05
310,CHEBI:26401,1.547306807228977e-05
