,Feature,Importance
2355,CHEMONTID:0000166,0.13818276165180263
1663,CHEMONTID:0003314,0.13812590847946463
104,CHEBI:48901,0.13677249558429402
292,CHEBI:39447,0.13598262799029553
295,CHEMONTID:0001530,0.13558885024671952
70,CHEBI:78616,0.13471031857119672
373,CHEBI:38106,0.13416813336900135
290,CHEBI:48588,0.13272532589479707
297,CHEMONTID:0002357,0.13272532589479644
782,CHEMONTID:0002452,0.12985734312962643
79,CHEBI:28963,0.1282818689566993
790,CHEMONTID:0004656,0.12740580221600972
23,CHEBI:51143,0.1267959250341898
704,CHEBI:23765,0.12561472671805038
91,CHEMONTID:0003675,0.12434450029161155
128,CHEMONTID:0002239,0.12419350209966044
327,CHEMONTID:0003481,0.12388858970187984
72,CHEBI:61697,0.12085696258648143
73,CHEBI:52782,0.12085696258648079
1477,CHEMONTID:0003684,0.11921578527033044
826,CHEMONTID:0002547,0.11861046488874555
274,CHEMONTID:0001230,0.11661223656300848
273,CHEMONTID:0000510,0.11661223656300805
712,CHEMONTID:0002552,0.11576179530807797
1334,CHEMONTID:0001634,0.1153613330944777
713,CHEMONTID:0001144,0.11450013470548712
382,CHEMONTID:0001813,0.11422905956802751
380,CHEMONTID:0002449,0.1131047455002735
1276,CHEMONTID:0000056,0.11273597286342446
332,CHEMONTID:0001549,0.11219487053740472
417,CHEBI:24828,0.11184632048430734
849,CHEMONTID:0004788,0.11183628576937843
1333,CHEBI:39270,0.11123216032358582
187,CHEBI:38260,0.11109405882204106
658,CHEBI:35273,0.11099905881411827
1531,CHEMONTID:0000116,0.11080216992161411
718,CHEMONTID:0000213,0.11052416041752595
707,CHEBI:46771,0.11052416041752586
377,CHEMONTID:0000098,0.1063055963348345
378,CHEMONTID:0001693,0.1063055963348343
815,CHEMONTID:0001893,0.1062601220639734
486,CHEMONTID:0002648,0.10599158418359009
1192,CHEMONTID:0003573,0.10582720575838911
709,CHEBI:48975,0.1050050989537114
307,CHEBI:22512,0.10451455124745576
317,CHEMONTID:0001225,0.10451455124745503
362,CHEBI:25693,0.10436012634131848
365,CHEBI:16385,0.10420511148994178
1026,CHEMONTID:0001900,0.10396093047087188
59,CHEBI:50699,0.10388232473039564
85,CHEMONTID:0000198,0.10388232473039209
916,CHEMONTID:0003861,0.10222166587407118
1309,CHEMONTID:0001766,0.10222166587407117
800,CHEBI:38163,0.10208002626821298
1449,CHEMONTID:0001910,0.10158951114495317
390,CHEMONTID:0003260,0.10129318823948102
1049,CHEMONTID:0001998,0.10063563894254587
567,CHEMONTID:0001917,0.10053043870777696
299,CHEMONTID:0002202,0.09987552217482282
749,CHEMONTID:0002634,0.0991279763157551
2053,CHEBI:35746,0.09873412816877829
2054,CHEMONTID:0002229,0.09873412816877827
723,CHEBI:35683,0.09804696604393086
551,CHEMONTID:0000211,0.09793842147401614
2071,CHEMONTID:0004450,0.09750494609918177
1431,CHEBI:39279,0.09750125505023602
1432,CHEMONTID:0004160,0.09750125505023599
1782,CHEMONTID:0004222,0.09697724063893981
271,CHEBI:33307,0.09679162052050536
1299,CHEBI:39410,0.09670381063517607
231,CHEBI:52898,0.09653687753243494
255,CHEMONTID:0000064,0.09653687753243251
227,CHEBI:70813,0.09612210792894517
251,CHEMONTID:0004315,0.09612210792894396
364,CHEBI:64709,0.09585072979343359
411,CHEMONTID:0002967,0.0954380215698973
1471,CHEMONTID:0000372,0.0950521793680675
370,CHEMONTID:0001666,0.09471492960062847
956,CHEMONTID:0004361,0.0945544180473952
1301,CHEMONTID:0002336,0.09351369060854933
101,CHEBI:50996,0.09315831982269958
1091,CHEBI:26766,0.0930283478435683
1093,CHEMONTID:0001125,0.09302834784356824
